Timestamp,OPR-OCH,PREBER Value,QAVG Value
2024-01-10 17:06:00,-16.7,2.7e-07,14.0
2024-01-10 17:06:00,-16.7,2.7e-07,14.0
2024-01-10 17:06:00,-16.7,2.8e-07,14.0
2024-01-10 17:06:00,-16.7,2.8e-07,14.0
2024-01-10 17:06:00,-16.7,2.7e-07,14.0
2024-01-10 17:06:00,-16.7,2.7e-07,14.0
2024-01-10 17:06:00,-16.7,2.7e-07,14.0
2024-01-10 17:07:00,-16.7,2.8e-07,14.0
2024-01-10 17:07:00,-16.7,2.8e-07,13.99
2024-01-10 17:07:00,-16.7,2.8e-07,13.99
2024-01-10 17:07:00,-16.7,2.8e-07,13.99
2024-01-10 17:09:00,-16.7,2.7e-07,14.0
2024-01-10 17:09:00,-16.7,2.7e-07,14.0
2024-01-10 17:09:00,-16.7,2.7e-07,14.0
2024-01-10 17:09:00,-16.7,2.7e-07,14.0
2024-01-10 17:09:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.6,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:10:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.6,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:11:00,-16.7,2.7e-07,14.0
2024-01-10 17:12:00,-16.7,2.7e-07,14.0
2024-01-10 17:12:00,-16.7,2.7e-07,14.0
2024-01-10 17:12:00,-16.7,2.7e-07,14.0
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:12:00,-16.7,2.7e-07,14.01
2024-01-10 17:13:00,-16.7,2.7e-07,14.01
2024-01-10 17:13:00,-16.7,2.7e-07,14.01
2024-01-10 17:13:00,-16.7,2.7e-07,14.01
2024-01-10 17:13:00,-16.7,2.7e-07,14.01
2024-01-10 17:13:00,-16.7,2.7e-07,14.01
